title,authors,year,abstract,keywords,doi,url,venue,type,source
Research on the scenario application of generative artificial intelligence in ideological and political education of colleges and universities,"Xiaoping Ran, yuyue zeng",2024,"with the rapid development of generative artificial intelligence technology, its application in the field of education is increasingly extensive. The positions outside the first classroom, such as the university network space, the campus environment and ...",,10.1145/3696500.3696575,https://dl.acm.org/doi/10.1145/3696500.3696575,ICBDDM '24: Proceedings of the 2024 International Conference on Big Data and Digital ManagementPages 454–459https://doi.org/10.1145/3696500.3696575,article,ACM
Early Adoption of Generative Artificial Intelligence in Computing Education: Emergent Student Use Cases and Perspectives in 2023,"C. Estelle Smith, Kylee Shiekh, Hayden Cooreman, Sharfi Rahman, + 7",2024,"Because of the rapid development and increasing public availability of Generative Artificial Intelligence (GenAI) models and tools, educational institutions and educators must immediately reckon with the impact of students using GenAI. There is limited ...",,10.1145/3649217.3653575,https://dl.acm.org/doi/10.1145/3649217.3653575,ITiCSE 2024: Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1Pages 3–9https://doi.org/10.1145/3649217.3653575,article,ACM
The Roles and Functions of Foreign Language Teachers of China in the Context of Generative Artificial Intelligence,"Yushuang Zhang, Miao Miao",2024,"With the rapid development of Generative Artificial Intelligence (Generative AI) technology, its application in the field of foreign language teaching is becoming increasingly widespread, showing great potential for improving teaching efficiency and ...",,10.1145/3687311.3687415,https://dl.acm.org/doi/10.1145/3687311.3687415,IECT '24: Proceedings of the 2024 International Conference on Intelligent Education and Computer TechnologyPages 584–586https://doi.org/10.1145/3687311.3687415,article,ACM
Application and Impact of Generative Artificial Intelligence Techniques in Education--Citespace-based visualization and analysis,"Wenjie Fang, Bin Luo",2025,"Recently, generative AI technology has arisen as a trending research agenda in education. This study makes an review of 260 documents from the CNKI database published from 2020 to 2024. Through the bibliometric and content analysis methods, together with ...",,10.1145/3722237.3722258,https://dl.acm.org/doi/10.1145/3722237.3722258,ICAIE '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and EducationPages 117–122https://doi.org/10.1145/3722237.3722258,article,ACM
A Study on the Behavioral Intention of Primary and Secondary School Teachers Using Generative Artificial Intelligence in Teaching,"Min Li, Heng Zhang",2024,"With the continuous penetration of AI technology in the field of education, generative artificial intelligence (AIGC), one of its forms, has begun to be applied to teaching in primary and secondary schools. This study focuses on the behavioral intentions ...",,10.1145/3675812.3675870,https://dl.acm.org/doi/10.1145/3675812.3675870,ICDEL '24: Proceedings of the 2024 9th International Conference on Distance Education and LearningPages 35–41https://doi.org/10.1145/3675812.3675870,article,ACM
Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,"Rongxin Liu, Carter Zenke, Charlie Liu, Andrew Holmes, + 2",2024,"In Summer 2023, we developed and integrated a suite of AI-based software tools into CS50 at Harvard University. These tools were initially available to approximately 70 summer students, then to thousands of students online, and finally to several hundred ...",,10.1145/3626252.3630938,https://dl.acm.org/doi/10.1145/3626252.3630938,SIGCSE 2024: Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1Pages 750–756https://doi.org/10.1145/3626252.3630938,article,ACM
Pathways and Empirical Research on Generative Artificial Intelligence Empowering Curriculum Reform in Higher Education: A Case Study of the 'Customer Relationship Management' Course,"Miaoxian Wu, Jinhe Wu",2025,"Paradigm-breaking innovations in generative artificial intelligence (GAI) are revolutionizing the landscape of postgraduate education at an unprecedented rate.This work chooses a Chinese university's ""Customer Relationship Management"" course as a case and ...",,10.1145/3756580.3756627,https://dl.acm.org/doi/10.1145/3756580.3756627,"ICEKIM '25: Proceedings of the 2025 6th International Conference on Education, Knowledge and Information ManagementPages 289–294https://doi.org/10.1145/3756580.3756627",article,ACM
Opportunities and Challenges of Generative Artificial Intelligence in Facilitating Learning for Chinese University Students,"Shuaiyao Ma, Lei Lei",2024,"With the emergence of Artificial Intelligence in General Chat (AIGC), represented by ChatGPT, collaborative learning tasks between university students and machines have become a new norm in higher education. Simply prohibiting this new wave of technology ...",,10.1145/3660043.3660178,https://dl.acm.org/doi/10.1145/3660043.3660178,ICIEAI '23: Proceedings of the 2023 International Conference on Information Education and Artificial IntelligencePages 756–760https://doi.org/10.1145/3660043.3660178,article,ACM
A Hybrid Prototype Method Combining Physical Models and Generative Artificial Intelligence to Support Creativity in Conceptual Design,"Hongbo Zhang, Pei Chen, Xuelong Xie, Zhaoqu Jiang, Zihong Zhou, + 1",2024,"Conceptual design is an essential stage in the design process, and its ultimate success largely depends on designers’ creativity. Both physical and digital prototypes are commonly adopted by designers to support ideation and creativity, providing ...",,10.1145/3689433,https://dl.acm.org/doi/10.1145/3689433,"ACM Transactions on Computer-Human Interaction (TOCHI), Volume 31, Issue 5Article No.: 65, Pages 1–34https://doi.org/10.1145/3689433",article,ACM
News from Generative Artificial Intelligence Is Believed Less,"Chiara Longoni, Andrey Fradkin, Luca Cian, Gordon Pennycook",2022,"Artificial Intelligence (AI) can generate text virtually indistinguishable from text written by humans. A key question, then, is whether people believe news headlines generated by AI as much as news headlines generated by humans. AI is viewed as lacking ...",,10.1145/3531146.3533077,https://dl.acm.org/doi/10.1145/3531146.3533077,"FAccT '22: Proceedings of the 2022 ACM Conference on Fairness, Accountability, and TransparencyPages 97–106https://doi.org/10.1145/3531146.3533077",article,ACM
Research on the educational application of generative artificial intelligence images in the design of semiotics learning models,"Ming-Yu Hsiao, Simo Zhang",2024,"Generative Artificial Intelligence (AI) has emerged as a novel technology with profound implications for education and deep learning, particularly due to its advancements in image generation. This progress has had a disruptive impact on the design ...",,10.1145/3637907.3637947,https://dl.acm.org/doi/10.1145/3637907.3637947,ICETM '23: Proceedings of the 2023 6th International Conference on Educational Technology ManagementPages 8–15https://doi.org/10.1145/3637907.3637947,article,ACM
The Practicality and Teaching Effect of Intelligent Teaching Platform for Virtual Training and Simulation Operation Based on Generative Artificial Intelligence Technology in Vocational Education in Jiangsu Province,Yushui Xiao,2025,"In the face of the high requirements of vocational education for practical skills training, as well as the poor results and high costs of traditional training, this study aims to build an efficient and intelligent virtual training and simulation operation ...",,10.1145/3757749.3757817,https://dl.acm.org/doi/10.1145/3757749.3757817,"ICCMT '25: Proceedings of the 2025 2nd International Conference on Computer and Multimedia TechnologyJune 2025, Pages 410–415https://doi.org/10.1145/3757749.3757817",article,ACM
Analyzing Key Influencing Factors of University Teachers45 Use of Generative Artificial Intelligence in a Small-Sample Data Environment,"Shitou Liu, Zhenjie Liang, Ling Zhang",2024,"This study focuses on exploring the key factors influencing the use of generative artificial intelligence (AI) by university teachers in the context of digital education, particularly in the backdrop of human-computer interaction. Considering the ...",,10.1145/3675417.3675461,https://dl.acm.org/doi/10.1145/3675417.3675461,DEAI '24: Proceedings of the 2024 Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial IntelligencePages 271–279https://doi.org/10.1145/3675417.3675461,article,ACM
7th International Workshop on Software-intensive Business (IWSiB 2024): Software-intensive Business in the Era of Generative Artificial Intelligence,"Jorge Melegati, Dimitri Petrik, Andrey Saltan",2024,"The 7th International Workshop on Software-intensive Business (IWSiB'24), held on April 16, 2024, in Lisbon, Portugal, as part of the 46th International Conference on Software Engineering (ICSE 2024), brought together diverse research communities to ...",,10.1145/3696117.3696123,https://dl.acm.org/doi/10.1145/3696117.3696123,"ACM SIGSOFT Software Engineering Notes (SIGSOFT), Volume 49, Issue 4Pages 22–25https://doi.org/10.1145/3696117.3696123",article,ACM
"""I'd Never Actually Realized How Big An Impact It Had Until Now"": Perspectives of University Students with Disabilities on Generative Artificial Intelligence","Alex Atcheson, Omar Khan, Brian Siemann, Anika Jain, Karrie Karahalios",2025,Prior research on the experiences of students with disabilities in higher education has surfaced a number of barriers that prevent full inclusion. Generative artificial intelligence (GenAI) has begun to attract interest for its potential to address ...,,10.1145/3706598.3714121,https://dl.acm.org/doi/10.1145/3706598.3714121,"CHI '25: Proceedings of the 2025 CHI Conference on Human Factors in Computing SystemsArticle No.: 42, Pages 1–22https://doi.org/10.1145/3706598.3714121",article,ACM
Design and application of a web front-end development course training platform based on generative artificial intelligence and low code development,Qiang Shan,2024,"With the rapid development of artificial intelligence technology, generative artificial intelligence has shown strong application potential in various fields, and low code development has become a popular choice for quickly building application systems ...",,10.1145/3691720.3691768,https://dl.acm.org/doi/10.1145/3691720.3691768,EKI '24: Proceedings of the 2nd International Conference on Educational Knowledge and InformatizationPages 287–291https://doi.org/10.1145/3691720.3691768,article,ACM
Based on the generative artificial intelligence painting model Stable Diffusion Application and Research in Product Appearance Design,Guoliang Mu,2025,"Generative AI technology, mainly based on AIGC, has been developed at a fast-moving speed recently, among which Stable Diffusion uses diffusion models, possessing strong and surprising performance on image creation or processing. This paper aims to ...",,10.1145/3726010.3726032,https://dl.acm.org/doi/10.1145/3726010.3726032,"ICADI '24: Proceedings of the 2024 International Conference on Artificial Intelligence, Digital Media Technology and Interaction DesignPages 154–159https://doi.org/10.1145/3726010.3726032",article,ACM
The image-generative artificial intelligence Midjourney empowers Chinese landscape painting teaching and creation with positive nurturing,"Jinyong Wu, Yujia Cui, Yingwei Cui",2024,"This study explores the positive impacts of the image-generative AI, Midjourney, on teaching and creating Chinese landscape paintings. Amid the rapid development of image-generative AI, Midjourney acts as an ""assistive creative tool"" in the creation of ...",,10.1145/3691016.3691035,https://dl.acm.org/doi/10.1145/3691016.3691035,"IPICE '24: Proceedings of the 2024 International Conference on Image Processing, Intelligent Control and Computer EngineeringPages 104–108https://doi.org/10.1145/3691016.3691035",article,ACM
